0,0 0,845 2,44 85,1
1,0 1,08 2,88 76,8
2,0 1,88 3,54 76,3
3,0 2,98 5,34 74,8
4,0 3,92 7,52 56,9
5,0 5,77 10,5 42,2
6,0 7,14 17,6 28,8
7,0 10,6 22,8 7,65
8,0 10,3 24,7 0,198
9,0 7,70 24,4 0,002
