0,0 1,12 2,02 227
1,0 1,29 2,56 236
2,0 2,29 2,90 221
3,0 2,68 3,82 213
4,0 4,36 4,44 198
5,0 6,18 6,69 198
6,0 7,70 9,31 195
7,0 11,1 11,3 178
8,0 13,6 15,2 160
9,0 18,3 21,0 123
10,0 18,6 31,2 76,4
11,0 22,3 39,4 46,2
12,0 29,9 53,8 11,9
13,0 25,2 54,4 0,054
