0,0 0,378 1,92 20,8
1,0 0,652 2,54 17,6
2,0 1,17 3,54 14,8
3,0 1,54 4,65 10,3
4,0 1,84 5,96 5,80
5,0 2,36 6,64 2,34
6,0 2,20 7,19 0,512
7,0 2,23 6,74 0,088
